,seqname,source,feature,start,end,strand,ref_gene_id,reference_id,filename,transcript_length,molecularSubtype,Start_UTRref,End_UTRref,UTR_length,ref_UTR_length,UTR_diff,UTR_length (ln),UTR_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
16,chr20,StringTie,transcript,25294743,25390835,-,ABHD12,NM_015600.5,SRR19969246,96092,HER2+,25294742,25294972,230,230,0,5.438079308923196,no change,1174.39315793013,0.720566140129756,0.206220131030372,3.49416003437429,0.000475555857064,0.0097894834914542
17,chr20,StringTie,transcript,25300214,25390835,-,ABHD12,NM_001042472.3,SRR19969246,90621,HER2+,25300213,25300844,631,631,0,6.447305862541213,no change,1643.34276820136,0.748303816171929,0.18350566930502,4.07782396590762,4.54591632102197e-05,0.0017104133569636
32,chr10,StringTie,transcript,26746596,26860958,-,ABI1,NM_001348030.2,SRR19969244,114362,HER2+,26746595,26748569,1974,1974,0,7.587817219993427,no change,1979.08395315302,0.416786748257906,0.0831082569382638,5.01498603884224,5.30373167478697e-07,4.85357792277539e-05
33,chr10,aptardi,transcript,26747746,26860958,-,ABI1,NM_001348030.2,SRR19969244,113212,HER2+,26746595,26748569,824,1974,-1150,6.714170529909472,shorter,1979.08395315302,0.416786748257906,0.0831082569382638,5.01498603884224,5.30373167478697e-07,4.85357792277539e-05
34,chr10,aptardi,transcript,26746846,26860958,-,ABI1,NM_001348030.2,SRR19969244,114112,HER2+,26746595,26748569,1724,1974,-250,7.452402451223638,shorter,1979.08395315302,0.416786748257906,0.0831082569382638,5.01498603884224,5.30373167478697e-07,4.85357792277539e-05
35,chr10,StringTie,transcript,26746892,26860986,-,ABI1,XM_005252333.4,SRR19969244,114094,HER2+,26746891,26748569,1678,1678,0,7.425357887027151,no change,1963.11089230504,0.408949204806949,0.0860433387810049,4.75282817473872,2.00590810611723e-06,0.0001344546550752
36,chr10,aptardi,transcript,26747746,26860986,-,ABI1,XM_005252333.4,SRR19969244,113240,HER2+,26746891,26748569,824,1678,-854,6.714170529909472,shorter,1963.11089230504,0.408949204806949,0.0860433387810049,4.75282817473872,2.00590810611723e-06,0.0001344546550752
38,chr17,StringTie,transcript,1225891,1229722,-,ABR,NM_001322842.2,SRR19969246,3831,HER2+,1225890,1228146,2256,2256,0,7.721348612617949,no change,57.2312668998634,1.14230134837215,0.376537114857162,3.03370186709344,0.0024157303094087,0.0316681723910448
69,chr1,StringTie,transcript,161184302,161199054,-,ADAMTS4,NM_005099.6,SRR19969246,14752,HER2+,161184301,161191137,6836,6836,0,8.829958044235482,no change,926.661855856456,1.88546602233874,0.542381253866705,3.47627431607751,0.0005084319472107,0.0102556339173793
70,chr1,aptardi,transcript,161189665,161199054,-,ADAMTS4,NM_005099.6,SRR19969246,9389,HER2+,161184301,161191137,1473,6836,-5363,7.29505641646263,shorter,926.661855856456,1.88546602233874,0.542381253866705,3.47627431607751,0.0005084319472107,0.0102556339173793
86,chr10,StringTie,transcript,86968482,86970915,+,ADIRF,NM_006829.3,SRR19969244,2433,HER2+,86970582,86970915,333,333,0,5.808142489980444,no change,3724.66685953652,-1.88960937246829,0.599675007278801,-3.15105573774525,0.0016268144181837,0.0237458149244542
87,chr10,aptardi,transcript,86968482,86970775,+,ADIRF,NM_006829.3,SRR19969244,2293,HER2+,86970582,86970915,193,333,-140,5.262690188904886,shorter,3724.66685953652,-1.88960937246829,0.599675007278801,-3.15105573774525,0.0016268144181837,0.0237458149244542
106,chr1,StringTie,transcript,111499429,111503633,-,ADORA3,NM_000677.4,SRR19969243,4204,HER2+,111499428,111499949,521,521,0,6.255750041753367,no change,182.227303101109,1.5853752493478,0.33750536514443,4.6973334740008,2.63579923942464e-06,0.0001657501680435
115,chr10,StringTie,transcript,111077029,111080907,+,ADRA2A,NM_000681.4,SRR19969243,3878,HER2+,111079394,111080907,1513,1513,0,7.321849713788356,no change,1057.14872061722,-1.77598611454515,0.430986204738216,-4.12074933030373,3.77642133138218e-05,0.0014767260762722
120,chr20,StringTie,transcript,62302061,62308862,+,ADRM1,XM_011528503.1,SRR19969245,6801,HER2+,62308750,62308862,112,112,0,4.718498871295094,no change,2065.28969263047,0.412771062378521,0.107218119562848,3.8498256084091,0.0001182019539725,0.0035357297568448
150,chr1,StringTie,transcript,159062484,159076766,-,AIM2,NM_004833.3,SRR19969246,14282,HER2+,159062483,159062691,208,208,0,5.337538079701318,no change,63.5935945189664,2.73512035125815,0.470563152618247,5.8124405534937,6.1568550753577505e-09,1.33599580996229e-06
185,chr12,StringTie,transcript,38316774,38329721,+,ALG10B,NM_001013620.4,SRR19969245,12947,HER2+,38321213,38329721,8508,8508,0,9.048762176320128,no change,300.251348305507,-0.73958964031587,0.178881338529651,-4.13452653247717,3.55687161442374e-05,0.0014024393141614
201,chr17,StringTie,transcript,18183828,18209954,+,ALKBH5,NM_017758.4,SRR19969243,26126,HER2+,18208396,18209954,1558,1558,0,7.351158226430694,no change,2249.83777545121,-0.346948919159971,0.0991834324123896,-3.49805315990084,0.000468667706287,0.0096917544443723
229,chr17,StringTie,transcript,81891713,81900533,+,ANAPC11,NM_001002247.2,SRR19969243,8820,HER2+,81900065,81900533,468,468,0,6.148468295917647,no change,1774.97506113091,0.893852876210358,0.18464301752946,4.8409784901167,1.29201358629072e-06,9.85177673606053e-05
230,chr17,aptardi,transcript,81891713,81900319,+,ANAPC11,NM_001002247.2,SRR19969243,8606,HER2+,81900065,81900533,254,468,-214,5.537334267018537,shorter,1774.97506113091,0.893852876210358,0.18464301752946,4.8409784901167,1.29201358629072e-06,9.85177673606053e-05
231,chr17,StringTie,transcript,81891723,81900255,+,ANAPC11,NM_001002248.3,SRR19969245,8532,HER2+,81900065,81900255,190,190,0,5.247024072160486,no change,1774.79211591268,0.893300578483051,0.184470511942991,4.84251151619897,1.2820820251648e-06,9.79354614282507e-05
