,seqname,source,feature,start,end,strand,ref_gene_id,reference_id,filename,transcript_length,molecularSubtype,Start_UTRref,End_UTRref,UTR_length,ref_UTR_length,UTR_diff,UTR_length (ln),UTR_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
55,chr19,StringTie,transcript,17292131,17303425,-,ABHD8,NM_024527.5,SRR19969218,11294,Uninvolved,17292130,17292660,530,530,0,6.272877006546167,no change,416.658221452084,-0.439470559103606,0.113285135669692,-3.87933118061473,0.0001047440662596,0.0029438010934867
8933,chr17,StringTie,transcript,15235219,15265326,-,PMP22,NM_001330143.2,SRR19969218,30107,Uninvolved,15235218,15235246,28,28,0,3.332204510175204,no change,968.283679729728,-1.67046878648672,0.533411812897196,-3.13166815225495,0.0017381621821693,0.0242007413479323
8932,chr17,StringTie,transcript,15229779,15260820,-,PMP22,NM_153322.3,SRR19969218,31041,Uninvolved,15229778,15230916,1138,1138,0,7.037027614686276,no change,3327.79590893521,-1.8568292029123,0.518758871635841,-3.57936857456919,0.0003444254105977,0.0072527714317043
8931,chr17,StringTie,transcript,15229779,15265326,-,PMP22,NM_000304.4,SRR19969218,35547,Uninvolved,15229778,15230916,1138,1138,0,7.037027614686276,no change,3333.60569232397,-1.85725013478694,0.51956561688785,-3.57462094183925,0.0003507356610983,0.0073576419062718
8930,chr17,StringTie,transcript,15229779,15262552,-,PMP22,NM_153321.3,SRR19969218,32773,Uninvolved,15229778,15230916,1138,1138,0,7.037027614686276,no change,3330.25682871407,-1.85662274389823,0.518967790008121,-3.57752981908411,0.0003468566598924,0.0072918990148898
8874,chr19,StringTie,transcript,4522531,4535224,-,PLIN5,NM_001013706.3,SRR19969218,12693,Uninvolved,4522530,4523527,997,997,0,6.904750769961838,no change,275.842805794,-2.70859980915572,0.860349166082057,-3.14825644742635,0.0016424753002582,0.0231471125888185
8841,chr19,StringTie,transcript,43648573,43668292,-,PLAUR,XM_017026872.2,SRR19969216,19719,Uninvolved,43648572,43648889,317,317,0,5.75890177387728,no change,675.951510527962,1.08572216692035,0.376112372738679,2.88669622595666,0.0038930990270551,0.0437097590197875
8831,chr10,aptardi,transcript,80132730,80145099,+,PLAC9,NM_001012973.3,SRR19969216,12369,Uninvolved,80144910,80145359,189,449,-260,5.241747015059643,shorter,487.859211730475,-2.50669554197729,0.576082002645468,-4.351282509202,1.35343531291353e-05,0.0006125847558235
8830,chr10,StringTie,transcript,80132730,80145359,+,PLAC9,NM_001012973.3,SRR19969216,12629,Uninvolved,80144910,80145359,449,449,0,6.107022887742255,no change,487.859211730475,-2.50669554197729,0.576082002645468,-4.351282509202,1.35343531291353e-05,0.0006125847558235
8829,chr11,StringTie,transcript,63461404,63490959,-,PLAAT5,XM_017017172.1,SRR19969218,29555,Uninvolved,63461403,63463502,2099,2099,0,7.649216319820633,no change,144.853690965664,-3.32825174057866,0.820337237030826,-4.0571750133215,4.9669861983544e-05,0.001639724063354
8828,chr11,StringTie,transcript,63461404,63491167,-,PLAAT5,NM_054108.4,SRR19969217,29763,Uninvolved,63461403,63463502,2099,2099,0,7.649216319820633,no change,145.274277186,-3.33285642867337,0.820757565228595,-4.06070753395384,4.892422654213e-05,0.0016209972247279
8827,chr11,StringTie,transcript,63461404,63491149,-,PLAAT5,XM_011544752.2,SRR19969216,29745,Uninvolved,63461403,63463502,2099,2099,0,7.649216319820633,no change,142.891635784357,-3.30665870007908,0.821366982864695,-4.02579939182165,5.67820829687155e-05,0.0018128944582458
8826,chr11,aptardi,transcript,63574747,63614433,-,PLAAT3,NM_001128203.2,SRR19969213,39686,Uninvolved,63574461,63574944,198,483,-285,5.288267030694535,shorter,1333.54139553305,-2.31278855248846,0.425254955529084,-5.43859283100179,5.37030266618497e-08,6.05193629954574e-06
8825,chr11,StringTie,transcript,63574462,63614433,-,PLAAT3,NM_001128203.2,SRR19969213,39971,Uninvolved,63574461,63574944,483,483,0,6.180016653652572,no change,1333.54139553305,-2.31278855248846,0.425254955529084,-5.43859283100179,5.37030266618497e-08,6.05193629954574e-06
8822,chr11,aptardi,transcript,63574747,63614437,-,PLAAT3,NM_007069.3,SRR19969213,39690,Uninvolved,63574461,63574944,198,483,-285,5.288267030694535,shorter,1432.52535461403,-2.28018536030998,0.429465420191721,-5.30935729189107,1.10012483491032e-07,1.13335127729264e-05
8821,chr11,StringTie,transcript,63574462,63614437,-,PLAAT3,NM_007069.3,SRR19969213,39975,Uninvolved,63574461,63574944,483,483,0,6.180016653652572,no change,1432.52535461403,-2.28018536030998,0.429465420191721,-5.30935729189107,1.10012483491032e-07,1.13335127729264e-05
8951,chr14,StringTie,transcript,20469406,20477089,+,PNP,NM_000270.4,SRR19969216,7683,Uninvolved,20476601,20477089,488,488,0,6.190315405853148,no change,1076.08487871971,1.49756449132417,0.474093630467555,3.15879479301853,0.0015842299675737,0.0225611796255214
8987,chr18,StringTie,transcript,54269574,54298234,+,POLI,NM_001351611.2,SRR19969213,28660,Uninvolved,54294467,54298234,3767,3767,0,8.23403420769204,no change,567.223450042904,-1.07268101188226,0.28577596457155,-3.7535732352106,0.0001743315682362,0.0044052046527694
8988,chr18,aptardi,transcript,54269574,54294748,+,POLI,NM_001351611.2,SRR19969213,25174,Uninvolved,54294467,54298234,281,3767,-3486,5.638354669333745,shorter,567.223450042904,-1.07268101188226,0.28577596457155,-3.7535732352106,0.0001743315682362,0.0044052046527694
9038,chr12,StringTie,transcript,120578764,120581402,-,POP5,NM_015918.4,SRR19969213,2638,Uninvolved,120578763,120579317,554,554,0,6.317164686747284,no change,443.736337085331,0.466884180238575,0.146197528524995,3.19351623073952,0.001405514362079,0.02070676149691
9181,chr20,StringTie,transcript,59033145,59042786,-,PRELID3B,NM_001256403.2,SRR19969213,9641,Uninvolved,59033144,59035006,1862,1862,0,7.529406457837013,no change,1640.31571483638,0.97593696225582,0.269921684062677,3.61563008783394,0.0002996179666032,0.0065410795661359
9151,chr10,aptardi,transcript,91628567,91633071,-,PPP1R3C,NM_005398.7,SRR19969218,4504,Uninvolved,91628441,91629926,1360,1485,-125,7.215239978730097,shorter,471.297034136342,-2.86493248791185,0.85415810685679,-3.35410091517424,0.0007962331821929,0.0136898307797854
9150,chr10,StringTie,transcript,91628442,91633071,-,PPP1R3C,NM_005398.7,SRR19969213,4629,Uninvolved,91628441,91629926,1485,1485,0,7.3031700512368,no change,471.297034136342,-2.86493248791185,0.85415810685679,-3.35410091517424,0.0007962331821929,0.0136898307797854
9129,chr1,StringTie,transcript,204403381,204411817,-,PPP1R15B,NM_032833.5,SRR19969213,8436,Uninvolved,204403380,204406091,2711,2711,0,7.905072849498666,no change,1902.474,0.6240356,0.2159485,2.889742,0.003855576,0.04340338
9123,chr11,StringTie,transcript,64244479,64246943,-,PPP1R14B,NM_138689.3,SRR19969217,2464,Uninvolved,64244478,64244753,275,275,0,5.616771097666572,no change,2515.26616877769,1.49649077641015,0.443203406465359,3.37653265877394,0.0007340565690445,0.0128957936460249
9122,chr19,StringTie,transcript,38251237,38256374,-,PPP1R14A,NM_033256.3,SRR19969217,5137,Uninvolved,38251236,38251317,81,81,0,4.394449154672439,no change,334.673516248043,-1.58200666947849,0.401825226567014,-3.93705164554831,8.24888588258823e-05,0.002444121450493
9120,chr1,StringTie,transcript,202540114,202588569,+,PPP1R12B,NM_001197131.1,SRR19969217,48455,Uninvolved,202580560,202588569,8009,8009,0,8.988321188323683,no change,1450.955,-1.677783,0.5555815,-3.019868,0.002528846,0.03208788
8818,chr3,StringTie,transcript,193241222,193270855,+,PLAAT1,NM_020386.5,SRR19969217,29633,Uninvolved,193270705,193270855,150,150,0,5.010635294096256,no change,52.9271838664404,3.28179948532663,1.0930076775394,3.00254019506494,0.0026773661416114,0.0334711240070976
9119,chr11,StringTie,transcript,67398183,67401858,-,PPP1CA,NM_002708.4,SRR19969218,3675,Uninvolved,67398182,67398534,352,352,0,5.863631175598097,no change,3695.68857158833,0.740186003609811,0.210385482323764,3.5182370733677,0.0004344240718185,0.0086877985943853
9092,chr10,aptardi,transcript,79347469,79354806,+,PPIF,NM_005729.4,SRR19969217,7337,Uninvolved,79353842,79355334,964,1492,-528,6.871091294610546,shorter,1829.02320763978,1.25604782827872,0.228268962091304,5.50249064424415,3.74463103907171e-08,4.4881629172787e-06
9091,chr10,StringTie,transcript,79347469,79355334,+,PPIF,NM_005729.4,SRR19969217,7865,Uninvolved,79353842,79355334,1492,1492,0,7.307872780763706,no change,1829.02320763978,1.25604782827872,0.228268962091304,5.50249064424415,3.74463103907171e-08,4.4881629172787e-06
9070,chr12,StringTie,transcript,42326174,42446570,+,PPHLN1,XM_017019445.2,SRR19969217,120396,Uninvolved,42446350,42446570,220,220,0,5.393627546352362,no change,875.688819129706,0.915458661385358,0.309461155814078,2.95823448011471,0.003094066687307,0.0371445654487712
9068,chr12,StringTie,transcript,42326167,42448621,+,PPHLN1,NM_001364825.2,SRR19969217,122454,Uninvolved,42446618,42448621,2003,2003,0,7.602401335665818,no change,1132.97564475166,0.896168225319813,0.280733165680319,3.19224208207843,0.0014117296007918,0.0207697268781763
9065,chr12,StringTie,transcript,42326126,42448621,+,PPHLN1,XM_017019449.1,SRR19969217,122495,Uninvolved,42446350,42448621,2271,2271,0,7.7279755421055585,no change,1134.37024383814,0.894586644823968,0.281762120499682,3.17497129577777,0.0014985132391115,0.0216703613789686
9049,chr2,StringTie,transcript,104854115,104858574,+,POU3F3,NM_006236.3,SRR19969217,4459,Uninvolved,104857013,104858574,1561,1561,0,7.353081920515432,no change,22.00285,-4.392583,1.352649,-3.247393,0.001164673,0.01817062
9039,chr12,aptardi,transcript,120579013,120581402,-,POP5,NM_015918.4,SRR19969213,2389,Uninvolved,120578763,120579317,305,554,-249,5.720311776607412,shorter,443.736337085331,0.466884180238575,0.146197528524995,3.19351623073952,0.001405514362079,0.02070676149691
9095,chr10,aptardi,transcript,79347469,79354744,+,PPIF,XM_005269379.3,SRR19969218,7275,Uninvolved,79353762,79355334,982,1572,-590,6.889591308354466,shorter,1829.84994304697,1.25426011547647,0.227947341619082,5.50241168231056,3.74630906087399e-08,4.4881629172787e-06
8796,chr2,StringTie,transcript,178451427,178461390,+,PJVK,XM_005246629.4,SRR19969216,9963,Uninvolved,178461274,178461390,116,116,0,4.7535901911063645,no change,53.23393,-0.9395822,0.3093335,-3.037441,0.002385964,0.03083394
8784,chr5,StringTie,transcript,135027734,135034228,-,PITX1,NM_002653.5,SRR19969216,6494,Uninvolved,135027733,135028778,1045,1045,0,6.951772164398911,no change,372.45019276764,4.51962344564436,1.28848213939144,3.50771136632054,0.0004519791436096,0.0089572128413487
8698,chr17,aptardi,transcript,49404805,49414860,-,PHB1,XM_017024763.1,SRR19969217,10055,Uninvolved,49404051,49404991,187,940,-753,5.231108616854587,shorter,3716.27169141243,1.01504326527723,0.182386177450364,5.56535193328164,2.6162385149378e-08,3.28917021991637e-06
8348,chr19,StringTie,transcript,708935,748329,+,PALM,NM_001040134.2,SRR19969217,39394,Uninvolved,746814,748329,1515,1515,0,7.323170717943469,no change,1072.22401859477,-1.88343907873339,0.540559912745839,-3.48423742553575,0.0004935414627554,0.0095808410186225
8329,chr1,aptardi,transcript,212364377,212414886,-,PACC1,NM_001377478.1,SRR19969217,50509,Uninvolved,212363927,212365214,838,1287,-449,6.731018100482083,shorter,318.3544,1.790638,0.4259011,4.204352,2.618314e-05,0.001022807
8328,chr1,StringTie,transcript,212363928,212414886,-,PACC1,NM_001377478.1,SRR19969217,50958,Uninvolved,212363927,212365214,1287,1287,0,7.160069207596127,no change,318.3544,1.790638,0.4259011,4.204352,2.618314e-05,0.001022807
8259,chr2,StringTie,transcript,19351485,19358331,-,OSR1,XM_006711942.4,SRR19969218,6846,Uninvolved,19351484,19352274,790,790,0,6.672032945461067,no change,280.4043,-2.418062,0.7433452,-3.252946,0.001142152,0.01797915
8257,chr2,StringTie,transcript,19351485,19358623,-,OSR1,NM_145260.3,SRR19969213,7138,Uninvolved,19351484,19352274,790,790,0,6.672032945461067,no change,285.2625,-2.410654,0.7464554,-3.229468,0.001240209,0.01900648
